match_importance,is_neutral,same_confederation,home_continent_advantage,elo_diff,elo_momentum_diff,rank_diff,points_diff,squad_value_total_delta,squad_value_top11_delta,squad_value_attack_delta,squad_value_mid_delta,squad_value_def_delta,star_player_value_delta,squad_depth_delta,home_days_rest,away_days_rest,form_win_rate_diff,form_weighted_diff,goal_diff_delta,h2h_home_win_rate,h2h_draw_rate,h2h_matches_played,tournament_wr_delta,wc_appearances_diff,wc_knockout_rate_diff,wc_best_finish_diff,wc_goals_per_game_diff,injury_count_delta,injury_burden_delta,star_injury_flag
0.8,1,1,0,-202.5544635714284,-88.11225720104198,7.0,-13.0,,,,,,,,4.0,3.0,-0.6,-0.22388962976,-1.7000000000000002,,,0,-0.2857142857142857,0,0.0,0,0.0,0,0.0,0
0.2,0,1,0,150.42785299048705,56.35601812829532,,,,,,,,,,11.0,535.0,0.1,0.036029991215,1.4,0.6341463414634146,0.2195121951219512,41,0.3259419152276295,0,0.0,0,0.0,0,0.0,0
0.2,0,1,0,70.42499980643561,-26.9303111166646,-29.0,92.0,,,,,,,,73.0,150.0,0.0,0.0399148616699999,-0.2,0.4827586206896552,0.2413793103448276,29,-0.0572150072150072,1,0.0,0,-0.5,0,0.0,0
0.2,0,1,0,-4.012259468430102,20.495882913524383,-9.0,44.0,,,,,,,,549.0,738.0,0.1999999999999999,0.04218215049,0.0,0.0,0.0,2,-0.0952380952380952,0,0.0,0,0.0,0,0.0,0
0.8,1,1,0,-139.2844295867951,10.428919297218272,31.0,-94.0,,,,,,,,4.0,4.0,-0.4,0.00466703762,-0.6,0.3125,0.4375,16,-0.1601190476190475,1,0.25,0,0.2857142857142857,0,0.0,0
0.8,1,1,0,276.45661861110966,65.12204029710256,-35.0,152.0,,,,,,,,4.0,4.0,-0.1999999999999999,0.11450612623,-0.9,0.625,0.0,8,0.5185185185185185,10,0.3,6,1.0,0,0.0,0
0.2,0,0,1,137.67073449458826,-57.024481567020075,,,,,,,,,,2.0,2.0,0.0,-0.0321234399,-0.0999999999999999,0.0,1.0,1,0.1312970469021424,8,0.875,6,1.4722222222222223,0,0.0,0
0.8,1,1,0,-158.02706648333924,-59.0845926735758,21.0,-36.0,,,,,,,,4.0,4.0,-0.6000000000000001,-0.1906164076,-1.3,0.4074074074074074,0.074074074074074,27,-0.2476780185758514,0,0.0,0,0.0,0,0.0,0
0.8,1,1,0,286.46338299639865,53.53367696036571,-43.0,114.0,,,,,,,,4.0,4.0,0.5,0.141919190185,1.6,0.5,0.5,2,0.3870967741935484,3,0.6666666666666666,6,1.3333333333333333,0,0.0,0
0.2,0,0,0,-36.89076172842965,22.37110343814584,,,,,,,,,,2.0,530.0,0.3,0.0501971758199999,5.3,0.5,0.0,2,0.0166666666666666,0,0.0,0,0.0,0,0.0,0
0.2,1,0,0,8.917150941699447,38.77837313111331,,,,,,,,,,3.0,1.0,0.2,0.03572002478,5.199999999999999,,,0,0.2090909090909091,0,0.0,0,0.0,0,0.0,0
0.2,0,1,0,-50.752619238842726,-60.28692118849085,43.0,-159.0,,,,,,,,20.0,13.0,-0.0999999999999999,-0.02404358658,0.3,0.2,0.3333333333333333,15,0.00508166969147,0,0.0,0,0.0,0,0.0,0
0.2,1,1,0,424.0595891958344,8.52558113539044,-81.0,301.0,,,,,,,,35.0,344.0,0.3,0.04403172167,3.5,1.0,0.0,1,0.3118686868686868,1,0.0,1,0.6666666666666666,0,0.0,0
0.8,1,1,0,316.0362937672585,28.9240339277128,-85.0,230.0,,,,,,,,4.0,4.0,0.1999999999999999,0.08305421273,0.8,1.0,0.0,2,0.35,6,0.3333333333333333,6,0.8695652173913043,0,0.0,0
0.8,1,1,0,37.73762812608334,-32.59480655344714,-1.0,5.0,,,,,,,,4.0,4.0,0.0,-0.03380721956,-0.2,0.6666666666666666,0.3333333333333333,3,-0.0652173913043477,10,0.3571428571428571,5,-0.0851063829787234,0,0.0,0
0.8,0,1,1,96.68654648599818,-10.05656422503398,-57.0,137.0,,,,,,,,4.0,4.0,0.0,-0.07761448346,0.0999999999999999,0.4615384615384615,0.1538461538461538,13,0.0245700245700246,6,0.0,1,0.7777777777777778,0,0.0,0
0.2,0,1,0,-26.922611792523867,-4.366789744907237,-9.0,44.0,,,,,,,,2.0,1.0,0.0999999999999999,0.009542651535,-0.1999999999999999,0.0,0.0,3,-0.1222826086956521,0,0.0,0,0.0,0,0.0,0
0.8,1,1,0,-107.95703072702918,28.14325308683874,55.0,-120.0,,,,,,,,4.0,4.0,-0.4,-0.05746181873,-1.6,0.0,0.0,1,-0.2941176470588235,-1,0.0,-1,0.0,0,0.0,0
0.8,1,1,0,44.18428321443071,-111.81428871090498,-18.0,76.0,,,,,,,,3.0,3.0,-0.2,-0.10960379118,-0.5,0.4137931034482758,0.2758620689655172,29,0.0173611111111111,3,0.6666666666666666,6,1.3333333333333333,0,0.0,0
0.8,1,1,0,38.73557628695562,49.628030025251064,-4.0,2.0,,,,,,,,3.0,3.0,0.1,0.060546118905,0.8999999999999999,0.3333333333333333,0.0,3,0.1,0,0.0,0,0.0,0,0.0,0
0.8,1,1,0,89.47007808412673,116.02035153856173,14.0,-19.0,,,,,,,,5.0,5.0,0.0,0.16083131867,0.3,1.0,0.0,2,0.3673469387755102,4,0.25,2,1.0,0,0.0,0
0.8,1,1,0,118.7438090348262,13.304939031454524,-18.0,77.0,,,,,,,,5.0,5.0,-0.1999999999999999,0.1238584508,-0.5,0.2941176470588235,0.2941176470588235,17,0.0202304737516004,7,0.3,4,0.2857142857142857,0,0.0,0
0.2,0,0,1,-84.87040078454311,-33.54153037450624,45.0,-126.0,,,,,,,,5.0,76.0,-0.2,-0.06722060569,-0.6000000000000001,0.5,0.0,2,0.1626632114023721,8,0.875,6,1.4722222222222223,0,0.0,0
0.8,1,1,0,337.2523629479972,-19.987147537782448,-88.0,239.0,,,,,,,,4.0,4.0,0.2,0.0728066654,1.2,0.75,0.1666666666666666,12,0.5084745762711864,14,0.3571428571428571,6,0.9148936170212766,0,0.0,0
0.8,1,1,0,90.60522916110676,93.28836572026488,2.0,-4.0,,,,,,,,4.0,4.0,0.2999999999999999,0.15592311926,1.3,0.0,0.0,2,-0.1758130081300812,2,0.3333333333333333,5,-0.1304347826086956,0,0.0,0
0.2,0,0,1,-65.74078042852761,-0.9385585686322884,45.0,-126.0,,,,,,,,4.0,4.0,0.0,-0.03701176072,-0.1,0.6666666666666666,0.0,3,0.1672955974842767,8,0.875,6,1.4722222222222223,0,0.0,0
